Priority comparison: PW vs TTC (10000p_150d)
Sorted by priority descending (highest priority number = most important)
Patient ID   PW    TTC    Priority  Verdict
      7259    Y      Y        9289   both
      3130    Y      Y        9288   both
        94    Y      Y        9287   both
      2592    Y      Y        9286   both
      4923    Y      Y        9285   both
      6484    Y      N        9284  PW only
      8627    Y      Y        9283   both
      3203    Y      Y        9282   both
      8683    Y      Y        9281   both
      7229    Y      N        9280  PW only
      2743    Y      Y        9279   both
      1930    Y      Y        9278   both
      1465    Y      Y        9277   both
      7672    Y      Y        9276   both
      2149    Y      Y        9275   both
      8256    Y      Y        9274   both
      4847    Y      Y        9273   both
      1807    Y      Y        9272   both
      3925    Y      Y        9271   both
      1115    N      N        9270  neither
      3950    Y      Y        9269   both
      3111    Y      Y        9268   both
      7792    Y      Y        9267   both
      1007    Y      Y        9266   both
      1153    Y      Y        9265   both
      8854    Y      Y        9264   both
      3613    Y      Y        9263   both
      1395    Y      Y        9262   both
      1412    N      N        9261  neither
      8650    Y      Y        9260   both
      1884    Y      Y        9259   both
      3484    Y      Y        9258   both
      1084    Y      Y        9257   both
      6719    Y      Y        9256   both
      5916    Y      Y        9255   both
       939    Y      Y        9254   both
      8644    Y      Y        9253   both
      9544    Y      Y        9252   both
      9170    Y      Y        9251   both
      3878    Y      Y        9250   both
      5305    Y      Y        9249   both
      2462    Y      Y        9248   both
      6461    Y      Y        9247   both
      8562    Y      Y        9246   both
      4759    Y      Y        9245   both
      2211    Y      Y        9244   both
      4960    Y      Y        9243   both
      5719    Y      Y        9242   both
      8131    Y      Y        9241   both
      9434    Y      Y        9240   both
      4893    Y      Y        9239   both
      3209    Y      Y        9238   both
      2598    Y      Y        9237   both
      5875    Y      Y        9236   both
      1155    Y      N        9235  PW only
      6735    Y      Y        9234   both
      8951    Y      Y        9233   both
      6432    Y      Y        9232   both
      6079    Y      Y        9231   both
      5333    Y      Y        9230   both
      1890    Y      Y        9229   both
      1813    Y      Y        9228   both
      5529    Y      Y        9227   both
      9252    Y      Y        9226   both
      5997    Y      Y        9225   both
      1617    Y      Y        9224   both
       809    Y      Y        9223   both
      5610    Y      Y        9222   both
      1152    Y      Y        9221   both
      7862    Y      Y        9220   both
      9545    Y      Y        9219   both
      1686    Y      N        9218  PW only
      4037    Y      Y        9217   both
      3156    Y      Y        9216   both
      9169    Y      Y        9215   both
      9666    Y      Y        9214   both
      7569    Y      Y        9213   both
      5077    Y      Y        9212   both
      8200    Y      Y        9211   both
      2061    Y      Y        9210   both
      9018    Y      Y        9209   both
      8527    Y      Y        9208   both
      7095    Y      Y        9207   both
      4092    Y      Y        9206   both
       951    Y      Y        9205   both
      7495    Y      Y        9204   both
      7705    Y      Y        9203   both
      7649    Y      Y        9202   both
      7411    Y      Y        9201   both
      1541    Y      Y        9200   both
      4447    Y      Y        9199   both
      2791    Y      Y        9198   both
      5840    Y      Y        9197   both
      9352    Y      Y        9196   both
       920    Y      Y        9195   both
      6501    Y      Y        9194   both
      8870    Y      Y        9193   both
      1987    Y      Y        9192   both
      9604    Y      Y        9191   both
      2213    Y      Y        9190   both
      7162    Y      Y        9189   both
      7122    Y      Y        9188   both
      2038    Y      Y        9187   both
      3892    N      N        9186  neither
       351    Y      Y        9185   both
      1023    Y      Y        9184   both
      4335    Y      Y        9183   both
      5675    Y      Y        9182   both
      6779    Y      Y        9181   both
      1857    Y      Y        9180   both
      9843    Y      Y        9179   both
      6619    Y      Y        9178   both
       857    Y      Y        9177   both
      7160    Y      Y        9176   both
      1752    Y      Y        9175   both
      8452    Y      Y        9174   both
       969    Y      Y        9173   both
      7936    Y      Y        9172   both
      6338    Y      Y        9171   both
      9433    Y      Y        9170   both
      4007    Y      Y        9169   both
      2609    Y      Y        9168   both
      6010    Y      Y        9167   both
      1977    Y      Y        9166   both
      4716    Y      Y        9165   both
      9465    Y      Y        9164   both
      5049    Y      Y        9163   both
       837    Y      Y        9162   both
      9803    Y      Y        9161   both
      9172    Y      Y        9160   both
       234    Y      Y        9159   both
      5971    Y      Y        9158   both
      9390    Y      Y        9157   both
      2089    Y      Y        9156   both
      7539    Y      Y        9155   both
      3198    Y      Y        9154   both
      2668    Y      Y        9153   both
      8066    Y      Y        9152   both
      6191    Y      Y        9151   both
      8325    Y      Y        9150   both
      8009    Y      Y        9149   both
      2281    Y      Y        9148   both
      3030    Y      Y        9147   both
      3032    Y      Y        9146   both
      7019    Y      Y        9145   both
      6944    Y      Y        9144   both
      4484    Y      Y        9143   both
      8771    Y      Y        9142   both
      5716    Y      Y        9141   both
       434    Y      Y        9140   both
      4672    Y      Y        9139   both
      6657    Y      Y        9138   both
      5407    Y      Y        9137   both
      9830    Y      Y        9136   both
      1383    Y      Y        9135   both
      1905    Y      Y        9134   both
      6054    Y      Y        9133   both
      8972    Y      Y        9132   both
      3630    Y      Y        9131   both
      1271    Y      Y        9130   both
      6089    Y      Y        9129   both
      5776    Y      Y        9128   both
      2711    Y      Y        9127   both
      9091    Y      Y        9126   both
      4090    Y      Y        9125   both
      1013    Y      Y        9124   both
      5177    Y      Y        9123   both
      4122    Y      Y        9122   both
      5003    Y      Y        9121   both
