Lex comparison: SP vs True — sorted by priority descending
 PatientID     SP   True    Priority     Verdict
       432      Y      N         302      A only
       481      N      N         301     neither
       241      Y      N         300      A only
       172      N      N         299     neither
       655      Y      Y         298        both
       501      Y      N         297      A only
        38      Y      N         296      A only
       602      Y      Y         295        both
       639      Y      Y         294        both
       227      N      N         293     neither
       368      N      N         292     neither
       253      Y      N         291      A only
       885      N      N         290     neither
       143      N      N         289     neither
       606      Y      N         288      A only
       849      Y      N         287      A only
       520      Y      Y         286        both
       888      N      N         285     neither
       682      Y      Y         284        both
       249      Y      N         283      A only
       552      Y      N         282      A only
       724      Y      N         281      A only
       691      N      N         280     neither
       198      Y      N         279      A only
       454      Y      N         278      A only
       448      N      N         277     neither
       287      N      N         276     neither
        44      Y      Y         275        both
       549      N      N         274     neither
       826      N      N         273     neither
       618      N      N         272     neither
       944      N      N         270     neither
       685      Y      N         269      A only
        31      N      N         268     neither
       690      N      N         267     neither
       892      N      N         266     neither
       878      Y      Y         265        both
       987      N      N         264     neither
       145      Y      Y         262        both
       215      Y      N         261      A only
       418      Y      N         260      A only
       267      Y      N         259      A only
        74      N      N         258     neither
       747      N      N         257     neither
        47      N      N         256     neither
       258      Y      N         255      A only
       452      N      N         254     neither
       709      N      N         253     neither
       364      N      N         252     neither
       477      N      N         251     neither
       340      N      N         250     neither
        98      N      N         249     neither
       310      N      N         248     neither
       334      N      N         247     neither
       165      N      N         246     neither
       847      Y      Y         245        both
       193      Y      Y         244        both
       519      Y      Y         243        both
       122      Y      N         242      A only
        96      Y      N         241      A only
       353      N      N         240     neither
       763      Y      Y         239        both
       365      Y      N         238      A only
       196      Y      Y         237        both
       498      N      N         236     neither
       903      N      N         235     neither
       765      N      N         234     neither
       308      N      N         233     neither
       720      Y      Y         232        both
       572      Y      Y         231        both
       557      N      N         230     neither
       307      Y      N         229      A only
       296      N      N         228     neither
       126      Y      Y         227        both
       761      N      N         226     neither
       972      Y      N         225      A only
       848      Y      Y         223        both
       219      N      N         222     neither
        49      N      N         221     neither
       102      N      N         220     neither
        55      Y      N         219      A only
       152      Y      N         218      A only
       361      N      N         217     neither
       587      Y      N         216      A only
       676      N      N         215     neither
       210      Y      N         214      A only
       969      N      N         213     neither
       608      Y      Y         212        both
       657      Y      Y         211        both
       735      Y      N         210      A only
       156      N      N         209     neither
        63      N      N         208     neither
       565      Y      N         207      A only
       591      Y      N         206      A only
       431      Y      N         205      A only
       695      N      N         204     neither
       845      Y      N         203      A only
       940      Y      N         202      A only
       918      Y      N         201      A only
       346      Y      Y         200        both
        61      N      N         199     neither
       369      Y      Y         198        both
       179      N      N         197     neither
       743      N      N         196     neither
       754      Y      Y         195        both
        28      Y      Y         194        both
       305      Y      Y         193        both
       822      Y      Y         191        both
       190      N      N         190     neither
        48      Y      N         189      A only
       738      N      N         188     neither
       755      N      N         187     neither
       946      Y      N         186      A only
       271      Y      N         185      A only
       731      Y      N         184      A only
       206      Y      N         183      A only
       506      N      N         182     neither
       631      Y      N         181      A only
       925      Y      N         180      A only
       406      Y      N         179      A only
       116      Y      N         178      A only
       279      N      N         177     neither
